"","PCW6","PCW7","PCW8","PCW9","PCW10","PCW11"
"sample53",0.948166666666667,0.9865,0.547563492063492,0.988888888888889,0.656428571428571,0.49434126984127
"sample54",0.5,0.885861111111111,0.863150793650794,0.907888888888889,0.99,0.714511904761905
"sample55",0.596146825396825,0.967619047619048,0.983333333333333,1,0.984833333333333,0.637912698412698
"sample56",0.73343253968254,0.952761904761905,0.811257936507937,0.621083333333333,0.885388888888889,0.776936507936508
"sample57",0.963,0.897666666666667,0.898861111111111,0.718261904761905,0.924464285714286,0.732563492063492
"sample58",0.941666666666667,1,0.948571428571429,0.843642857142857,0.927452380952381,0.536285714285714
"sample59",0.870170634920635,0.967619047619048,0.936333333333333,0.876472222222222,0.924436507936508,0.866904761904762
"sample60",0.613876984126984,0.317055555555556,0.98,0.868277777777778,0.856825396825397,0.637912698412698
"sample61",0.974285714285714,0.952761904761905,0.949,0.621083333333333,0.71065873015873,0.750305555555556
"sample62",0.596146825396825,0.946607142857143,0.535880952380952,0.990571428571429,0.92375,0.99
"sample63",0.650694444444444,0.978888888888889,0.860261904761905,0.478154761904762,0.98,0.8885
"sample64",0.650694444444444,1,0.875714285714286,0.968333333333333,0.995,0.739146825396825
"sample65",0.632559523809524,0.956587301587302,0.875714285714286,0.874444444444445,0.9915,0.350416666666667
"sample66",0.617742063492064,1,0.743944444444444,0.531337301587302,0.766706349206349,0.866904761904762
"sample67",0.81968253968254,0.751079365079365,0.810722222222222,0.7915,0.929416666666667,0.624456349206349
"sample68",0.897666666666667,0.982857142857143,0.890238095238095,0.99575,0.611956349206349,0.832277777777778
"sample69",0.868722222222222,0.833095238095238,0.544761904761905,0.98,0.903015873015873,0.479595238095238
"sample70",0.632559523809524,0.982857142857143,0.97,0.875051587301587,0.925769841269841,0.805888888888889
"sample71",0.687571428571428,0.956587301587302,0.743944444444444,0.791162698412698,0.841948412698413,0.485424603174603
"sample72",0.822420634920635,0.876714285714286,0.997142857142857,0.856920634920635,0.99,0.767805555555555
"sample73",0.81825,0.885861111111111,0.959900793650794,0.904349206349206,0.936333333333333,0.699861111111111
"sample74",0.745853174603175,0.885861111111111,0.903488095238095,0.944944444444444,0.969666666666667,0.905309523809524
"sample75",0.623916666666667,0.9865,0.964365079365079,0.811023809523809,0.920857142857143,0.721555555555555
"sample76",0.849936507936508,0.982857142857143,0.98125,0.795619047619048,0.970892857142857,0.345472222222222
"sample77",0.793194444444444,0.751,0.961571428571429,0.963392857142857,0.98,0.490444444444444
"sample78",0.870170634920635,0.921444444444445,0.781583333333333,0.807821428571429,0.841948412698413,0.522361111111111
"sample79",0.915,0.904047619047619,0.98,0.952333333333333,0.907035714285714,0.306765873015873
"sample80",0.926190476190476,0.878690476190476,0.789257936507936,0.412555555555556,0.949,0.905309523809524
"sample81",0.651269841269841,0.946607142857143,0.911257936507937,0.774333333333333,0.924436507936508,0.750305555555556
"sample82",0.959007936507937,0.952761904761905,0.974555555555556,0.944944444444444,0.984833333333333,0.866880952380952
"sample83",0.747757936507937,0.794980158730159,0.943849206349206,1,0.718345238095238,0.57022619047619
"sample84",0.958138888888889,0.967619047619048,0.984444444444444,0.6555,0.928666666666667,0.624456349206349
"sample85",0.63722619047619,0.876714285714286,0.86468253968254,0.928404761904762,0.828861111111111,0.52568253968254
"sample86",0.933055555555556,0.915559523809524,0.834190476190476,0.898611111111111,0.98,0.806916666666667
"sample87",0.747757936507937,0.952761904761905,0.916357142857143,0.7915,0.9025,0.345472222222222
"sample88",0.879992063492064,0.995,0.701583333333333,0.7915,0.986,0.750305555555556
"sample89",0.73343253968254,0.967333333333333,0.742440476190476,0.957777777777778,0.823138888888889,0.714511904761905
"sample90",0.958138888888889,0.921444444444445,0.980476190476191,0.635599206349206,0.935242063492063,0.490444444444444
"sample91",0.598805555555556,0.987888888888889,0.863349206349206,0.690376984126984,0.753924603174603,0.350416666666667
"sample92",0.913571428571428,0.956587301587302,0.87815873015873,0.856920634920635,0.721849206349206,0.350416666666667
"sample93",0.856972222222222,0.967619047619048,0.909761904761905,0.811023809523809,0.8805,0.739146825396825
"sample94",0.5,0.946607142857143,0.9415,0.972,0.965805555555556,0.905309523809524
"sample95",0.641888888888889,0.948190476190476,0.983333333333333,0.764,0.854753968253968,0.986944444444444
"sample96",0.849936507936508,0.861416666666667,0.880285714285714,0.992857142857143,0.949880952380952,0.86965873015873
"sample97",0.856972222222222,0.952761904761905,0.986666666666667,0.898611111111111,0.825,0.485424603174603
"sample98",0.897666666666667,0.427027777777778,0.9415,0.868277777777778,0.851035714285714,0.721555555555555
"sample99",0.632559523809524,0.878690476190476,0.544761904761905,0.868277777777778,0.958,0.452230158730159
"sample100",0.947190476190476,0.794980158730159,0.743944444444444,0.862547619047619,0.908920634920635,0.718047619047619
"PCW6",0.980997576059521,0.793814008745545,0.811628368920746,0.20705423338154,-0.0737058446490785,-0.00532589942147609
"PCW7",0.816750280641464,0.993078902092462,0.636874893755772,0.623381421895888,0.323680606878988,0.0949809589772727
"PCW8",0.776022469266377,0.611885843461367,0.942461930629195,0.116429967933138,-0.144009104330114,-0.10628276781604
"PCW9",0.236192716168287,0.552024322199959,0.15443767931874,0.999216112620971,0.56930399619004,0.102834609014131
"PCW10",-0.0554629378980889,0.226207499046355,-0.125228022957389,0.522901843812605,0.997625988436664,0.803809008637846
"PCW11",0.00482547339600132,0.0362636262338007,-0.110618765073824,0.0876258494309998,0.786483497906711,1
"hDA",NA,3.24952041385223,1.31271492353024,2.39097067771677,2.67542990188339,1.68652254965071
"hDA.STN",NA,NA,NA,NA,NA,NA
"hNProg.DA",1.78022260562195,NA,1.27012357377469,NA,NA,NA
"hRN",NA,NA,2.40499477612682,NA,NA,NA
"hNProg.DARN",1.3854321216529,NA,1.46728357433233,NA,NA,NA
"hvGaba",NA,NA,NA,1.82354895621957,1.72868831106611,NA
"hNProg.vGaba",NA,NA,NA,NA,NA,NA
"hdGaba",NA,NA,NA,NA,NA,NA
"hNProg.dGaba",NA,NA,NA,NA,NA,NA
"hNProg.Gaba",NA,NA,NA,NA,NA,NA
"hGlu",NA,NA,NA,NA,NA,NA
"hNProg.Glu",NA,NA,NA,NA,NA,NA
"hOMTN",2.17783878758801,2.27699350869802,1.97336359811874,1.88231211206091,1.8680534282761,NA
"hSert",NA,NA,NA,NA,1.76269034153701,NA
"hOPC",NA,NA,NA,NA,1.69164648731238,1.91663053190033
"hProg",2.6951471315499,3.20505879355403,3.07700000044197,2.9889888516413,2.19613621718585,2.3982736411701
"hRgl",NA,NA,NA,2.01909730865496,3.1833309674337,3.23838622180626
